id_credvoucher,id_cliente,data_criacao,valor_voucher,tipo_credito,data_expiracao,id_compra
224,370,2015-03-25,6717.4,cartão presente,2015-09-21,1231.0
225,443,2015-01-08,8215.0,crédito desculpa,2016-01-08,
226,955,2013-11-09,696.19,crédito desculpa,2014-11-09,1982.0
227,338,2011-02-22,883.51,crédito cancelamento,2012-02-22,1864.0
228,88,2012-06-02,839.61,crédito cancelamento,2013-06-02,2066.0
229,853,2015-09-19,150.47,crédito desculpa,2016-09-18,532.0
230,698,2010-02-18,622.12,cartão presente,2010-08-17,
231,416,2015-11-06,5433.94,crédito desculpa,2016-11-05,34.0
232,229,2016-03-27,736.24,crédito desculpa,2017-03-27,2347.0
233,809,2013-01-26,9761.8,cartão presente,2013-07-25,539.0
234,662,2012-08-23,539.87,crédito cancelamento,2013-08-23,4377.0
235,382,2015-08-26,814.42,crédito cancelamento,2016-08-25,4320.0
236,951,2011-07-11,740.34,crédito desculpa,2012-07-10,578.0
237,590,2013-05-02,6278.29,crédito cancelamento,2014-05-02,4202.0
238,565,2014-05-08,464.04,cartão presente,2014-11-04,2396.0
239,631,2016-10-15,7589.09,crédito desculpa,2017-10-15,4374.0
240,312,2015-11-20,5119.99,crédito desculpa,2016-11-19,1598.0
241,956,2012-11-28,856.3,crédito cancelamento,2013-11-28,3657.0
242,39,2011-04-14,55.47,cartão presente,2011-10-11,369.0
243,569,2011-12-03,8975.82,crédito cancelamento,2012-12-02,3088.0
244,13,2010-11-01,333.49,crédito cancelamento,2011-11-01,3967.0
245,151,2012-04-30,398.7,crédito desculpa,2013-04-30,159.0
246,815,2010-10-03,1726.84,crédito cancelamento,2011-10-03,3791.0
247,634,2013-10-05,9123.94,crédito cancelamento,2014-10-05,794.0
248,469,2011-12-09,4918.55,crédito cancelamento,2012-12-08,2442.0
249,616,2012-03-06,1563.96,crédito desculpa,2013-03-06,4593.0
250,864,2015-07-03,51.96,crédito cancelamento,2016-07-02,2786.0
251,460,2010-03-25,9897.73,cartão presente,2010-09-21,2392.0
252,324,2011-03-14,6263.14,crédito desculpa,2012-03-13,2578.0
253,276,2011-07-13,8438.85,crédito cancelamento,2012-07-12,3437.0
254,753,2012-05-15,4667.58,crédito desculpa,2013-05-15,950.0
255,775,2014-03-23,123.96,cartão presente,2014-09-19,57.0
256,395,2014-11-29,13.0,crédito desculpa,2015-11-29,1968.0
257,780,2013-08-02,2568.4,crédito desculpa,2014-08-02,1254.0
258,926,2013-11-03,394.47,crédito desculpa,2014-11-03,1868.0
259,200,2017-07-03,9007.25,crédito cancelamento,2018-07-03,4294.0
260,780,2018-10-04,360.79,cartão presente,2019-04-02,2132.0
261,538,2020-02-29,764.69,cartão presente,2020-08-27,946.0
262,96,2020-05-13,988.92,cartão presente,2020-11-09,1713.0
263,931,2011-07-28,3669.23,cartão presente,2012-01-24,829.0
264,69,2012-02-25,301.62,crédito desculpa,2013-02-24,2212.0
265,739,2012-09-04,1401.86,crédito desculpa,2013-09-04,1.0
266,830,2019-02-21,3912.93,crédito cancelamento,2020-02-21,1213.0
267,319,2014-04-11,841.87,crédito desculpa,2015-04-11,
268,791,2019-11-04,6316.05,crédito cancelamento,2020-11-03,3720.0
269,809,2013-05-01,9635.4,cartão presente,2013-10-28,
270,688,2014-11-08,7213.84,crédito desculpa,2015-11-08,22.0
271,52,2010-07-29,8796.55,cartão presente,2011-01-25,449.0
272,621,2018-07-02,653.9,crédito desculpa,2019-07-02,3827.0
273,446,2010-07-27,2826.67,crédito cancelamento,2011-07-27,1301.0
274,922,2013-04-14,6924.45,crédito cancelamento,2014-04-14,
275,882,2016-07-28,572.52,crédito desculpa,2017-07-28,348.0
276,518,2012-03-12,555.72,crédito cancelamento,2013-03-12,2250.0
277,25,2014-05-09,192.63,cartão presente,2014-11-05,347.0
278,42,2011-10-11,6514.98,cartão presente,2012-04-08,3348.0
279,469,2012-09-09,3963.02,crédito cancelamento,2013-09-09,159.0
280,9,2014-09-14,2406.41,crédito cancelamento,2015-09-14,
281,486,2017-04-22,4877.89,crédito cancelamento,2018-04-22,
282,372,2011-08-30,2638.83,crédito cancelamento,2012-08-29,949.0
283,624,2013-01-23,626.88,crédito desculpa,2014-01-23,1608.0
284,368,2018-12-24,284.21,crédito desculpa,2019-12-24,1723.0
285,77,2010-06-14,812.7,cartão presente,2010-12-11,877.0
286,979,2016-01-19,8490.16,crédito cancelamento,2017-01-18,3949.0
287,36,2017-03-24,330.58,crédito desculpa,2018-03-24,244.0
288,433,2012-04-17,523.76,crédito desculpa,2013-04-17,4292.0
289,458,2016-03-28,7847.21,crédito cancelamento,2017-03-28,585.0
290,4,2017-09-22,168.99,crédito desculpa,2018-09-22,
291,7,2015-11-21,48.35,crédito desculpa,2016-11-20,480.0
292,67,2015-06-14,3626.06,crédito desculpa,2016-06-13,2376.0
293,646,2016-07-02,8888.74,cartão presente,2016-12-29,2157.0
294,80,2015-07-09,8511.75,cartão presente,2016-01-05,924.0
295,820,2010-09-09,722.02,cartão presente,2011-03-08,676.0
296,330,2012-12-21,4213.99,cartão presente,2013-06-19,
297,632,2018-02-14,8649.2,crédito desculpa,2019-02-14,340.0
298,232,2017-07-08,158.76,crédito desculpa,2018-07-08,
299,89,2013-06-07,4615.19,crédito cancelamento,2014-06-07,3369.0
300,449,2016-01-06,7207.64,cartão presente,2016-07-04,339.0
301,78,2013-05-30,43.28,crédito desculpa,2014-05-30,4856.0
302,803,2017-10-02,4716.25,crédito cancelamento,2018-10-02,
303,444,2013-09-22,4218.34,crédito cancelamento,2014-09-22,3785.0
304,943,2016-05-16,617.94,cartão presente,2016-11-12,896.0
305,986,2017-03-25,5903.68,crédito cancelamento,2018-03-25,1505.0
306,902,2014-12-24,864.44,crédito cancelamento,2015-12-24,2300.0
307,686,2012-09-12,4277.16,crédito desculpa,2013-09-12,316.0
308,935,2012-04-13,736.1,crédito desculpa,2013-04-13,568.0
309,976,2017-12-13,4253.3,cartão presente,2018-06-11,1621.0
310,244,2013-05-28,1954.87,cartão presente,2013-11-24,
311,528,2010-12-04,713.17,crédito desculpa,2011-12-04,
312,609,2016-05-22,3990.49,crédito desculpa,2017-05-22,3231.0
313,123,2017-02-14,986.73,cartão presente,2017-08-13,1568.0
314,744,2014-03-27,368.5,crédito cancelamento,2015-03-27,974.0
315,377,2015-12-07,1990.45,cartão presente,2016-06-04,1147.0
316,509,2019-11-22,791.13,crédito desculpa,2020-11-21,1529.0
317,690,2018-06-10,2782.72,cartão presente,2018-12-07,2521.0
318,563,2012-06-10,7173.4,cartão presente,2012-12-07,3.0
319,640,2015-02-26,695.86,cartão presente,2015-08-25,1867.0
320,926,2015-10-13,8780.47,crédito cancelamento,2016-10-12,2104.0
321,35,2014-03-05,672.11,crédito desculpa,2015-03-05,1020.0
322,165,2013-12-28,6693.31,cartão presente,2014-06-26,473.0
323,673,2013-09-10,368.68,crédito cancelamento,2014-09-10,2492.0
324,122,2014-09-01,442.76,cartão presente,2015-02-28,937.0
325,188,2011-02-26,667.71,cartão presente,2011-08-25,1593.0
326,442,2017-07-25,987.92,crédito desculpa,2018-07-25,549.0
327,474,2016-07-06,582.15,crédito cancelamento,2017-07-06,627.0
328,248,2018-12-12,677.92,crédito cancelamento,2019-12-12,3467.0
329,444,2015-11-21,5341.62,cartão presente,2016-05-19,930.0
330,71,2019-01-26,880.24,crédito cancelamento,2020-01-26,3395.0
331,607,2011-05-31,630.75,crédito desculpa,2012-05-30,2172.0
332,605,2013-10-17,903.31,crédito desculpa,2014-10-17,1250.0
333,891,2020-02-18,958.94,cartão presente,2020-08-16,
334,244,2012-07-18,133.96,crédito cancelamento,2013-07-18,
335,209,2016-11-23,2007.51,crédito cancelamento,2017-11-23,281.0
336,645,2012-11-14,924.04,crédito cancelamento,2013-11-14,1270.0
337,529,2013-12-17,18.51,crédito desculpa,2014-12-17,41.0
338,287,2015-04-12,9710.87,crédito cancelamento,2016-04-11,731.0
339,873,2017-03-05,9213.59,cartão presente,2017-09-01,1684.0
340,357,2015-07-18,2672.65,crédito desculpa,2016-07-17,4842.0
341,821,2012-08-12,800.98,cartão presente,2013-02-08,2887.0
342,482,2016-03-08,8983.96,crédito desculpa,2017-03-08,1609.0
343,474,2015-07-07,2383.71,cartão presente,2016-01-03,1223.0
344,985,2012-11-10,975.65,cartão presente,2013-05-09,4473.0
345,339,2017-01-13,988.01,crédito cancelamento,2018-01-13,2494.0
346,269,2013-07-29,908.4,cartão presente,2014-01-25,2187.0
347,123,2016-08-04,584.67,crédito cancelamento,2017-08-04,131.0
348,350,2015-09-30,670.39,crédito cancelamento,2016-09-29,349.0
349,973,2017-02-26,383.27,cartão presente,2017-08-25,577.0
350,821,2016-03-24,565.07,cartão presente,2016-09-20,700.0
351,685,2017-01-11,778.82,cartão presente,2017-07-10,
352,138,2012-01-27,260.62,crédito desculpa,2013-01-26,1308.0
353,327,2018-08-11,238.91,crédito cancelamento,2019-08-11,1695.0
354,465,2013-07-27,6710.23,cartão presente,2014-01-23,103.0
355,721,2016-06-30,1745.13,crédito desculpa,2017-06-30,
356,985,2011-05-03,465.37,crédito cancelamento,2012-05-02,4472.0
357,207,2018-08-03,3116.85,crédito cancelamento,2019-08-03,165.0
358,185,2020-01-02,120.56,crédito cancelamento,2021-01-01,130.0
359,208,2016-03-19,3253.53,cartão presente,2016-09-15,1143.0
360,911,2013-09-15,344.38,crédito desculpa,2014-09-15,4711.0
361,342,2020-05-13,9912.05,cartão presente,2020-11-09,677.0
362,772,2014-09-10,4731.21,crédito cancelamento,2015-09-10,826.0
363,829,2019-12-04,4808.68,cartão presente,2020-06-01,561.0
364,981,2010-03-06,919.14,crédito cancelamento,2011-03-06,
365,471,2019-07-28,6525.26,crédito cancelamento,2020-07-27,967.0
366,592,2015-05-12,933.25,crédito desculpa,2016-05-11,
367,685,2018-07-08,477.44,cartão presente,2019-01-04,4500.0
368,652,2012-07-16,677.21,crédito desculpa,2013-07-16,375.0
369,215,2016-08-26,230.33,crédito cancelamento,2017-08-26,2794.0
370,155,2016-12-28,666.16,cartão presente,2017-06-26,3105.0
371,497,2017-12-15,69.31,crédito desculpa,2018-12-15,385.0
372,607,2017-09-26,6078.16,crédito desculpa,2018-09-26,81.0
373,834,2019-08-30,6835.99,crédito desculpa,2020-08-29,2876.0
374,781,2013-10-18,821.3,crédito cancelamento,2014-10-18,388.0
375,437,2011-12-02,316.17,crédito cancelamento,2012-12-01,4476.0
376,744,2017-08-31,7238.48,crédito desculpa,2018-08-31,2025.0
377,129,2014-03-13,1693.66,crédito desculpa,2015-03-13,295.0
378,821,2012-03-11,7395.28,cartão presente,2012-09-07,1636.0
379,610,2012-01-20,7279.05,cartão presente,2012-07-18,
380,434,2015-02-21,275.17,crédito desculpa,2016-02-21,2616.0
381,473,2018-08-19,213.76,crédito cancelamento,2019-08-19,844.0
382,469,2014-05-01,74.49,cartão presente,2014-10-28,2966.0
383,121,2016-10-24,671.93,cartão presente,2017-04-22,2206.0
384,637,2017-08-28,61.62,cartão presente,2018-02-24,201.0
385,409,2018-12-12,5669.71,cartão presente,2019-06-10,1467.0
386,576,2015-03-31,2152.91,cartão presente,2015-09-27,4348.0
387,892,2016-10-29,9917.69,cartão presente,2017-04-27,105.0
388,673,2011-04-08,7056.29,cartão presente,2011-10-05,1282.0
389,324,2020-04-15,5560.23,crédito desculpa,2021-04-15,
390,800,2019-04-17,6460.71,cartão presente,2019-10-14,3388.0
391,128,2011-11-13,4314.69,crédito desculpa,2012-11-12,66.0
392,586,2011-02-01,558.56,cartão presente,2011-07-31,3375.0
393,346,2013-03-30,3674.61,crédito desculpa,2014-03-30,553.0
394,989,2012-01-20,5798.0,crédito desculpa,2013-01-19,187.0
395,964,2015-01-27,692.3,crédito desculpa,2016-01-27,617.0
396,706,2013-02-13,5349.82,crédito desculpa,2014-02-13,739.0
397,748,2018-12-01,466.84,cartão presente,2019-05-30,4011.0
398,57,2015-09-07,5539.24,crédito desculpa,2016-09-06,766.0
399,485,2012-03-31,2898.33,cartão presente,2012-09-27,628.0
400,31,2010-03-10,1342.42,crédito desculpa,2011-03-10,83.0
401,330,2018-07-03,193.73,cartão presente,2018-12-30,2511.0
402,20,2020-03-31,604.27,cartão presente,2020-09-27,275.0
403,953,2017-03-05,6561.09,cartão presente,2017-09-01,1239.0
404,977,2012-10-09,526.85,crédito desculpa,2013-10-09,2077.0
405,986,2019-06-05,4295.5,crédito cancelamento,2020-06-04,1468.0
