id_credbanco,id_cliente,data_credito,valor_credito,tipo_credito
56,33,2011-04-05,734.69,crédito transferência
57,535,2011-12-24,4869.28,crédito transferência
58,54,2017-05-21,179.29,boleto
59,19,2011-10-25,378.48,boleto
60,332,2017-10-09,7615.6,boleto
61,932,2016-11-02,5769.81,boleto
62,679,2019-04-09,315.37,crédito transferência
63,73,2016-09-26,2005.95,boleto
64,453,2020-04-30,9430.66,boleto
65,58,2011-07-10,274.15,crédito transferência
66,117,2019-12-03,906.78,crédito transferência
67,565,2010-08-31,512.38,boleto
68,205,2019-04-03,158.13,boleto
69,443,2010-06-03,216.7,crédito transferência
70,805,2018-11-06,104.87,crédito transferência
71,237,2015-03-27,163.16,boleto
72,945,2015-02-25,3564.52,crédito transferência
73,648,2018-02-11,334.84,boleto
74,644,2017-03-09,383.0,crédito transferência
75,682,2019-05-10,340.64,crédito transferência
76,349,2010-11-24,990.33,crédito transferência
77,823,2012-02-17,539.26,boleto
78,546,2017-01-06,810.29,boleto
79,963,2018-08-13,826.19,crédito transferência
80,846,2013-08-27,1777.35,boleto
81,483,2016-05-24,824.88,crédito transferência
82,830,2010-05-21,507.77,crédito transferência
83,187,2013-02-18,985.67,boleto
84,422,2013-08-18,649.55,crédito transferência
85,708,2010-11-30,6391.23,crédito transferência
86,682,2015-01-14,278.6,boleto
87,704,2017-12-12,4576.74,boleto
88,24,2019-01-12,8527.66,crédito transferência
89,174,2012-09-10,710.17,crédito transferência
90,358,2014-06-17,4437.9,boleto
91,295,2018-05-21,7307.7,crédito transferência
92,951,2019-08-21,922.7,crédito transferência
93,889,2015-09-08,298.05,crédito transferência
94,13,2016-12-20,795.98,crédito transferência
95,688,2016-03-19,520.17,boleto
96,190,2020-01-10,127.71,crédito transferência
97,394,2014-02-09,1105.41,crédito transferência
98,120,2020-02-13,958.82,crédito transferência
99,385,2014-04-03,678.94,crédito transferência
100,375,2019-03-17,152.58,boleto
101,352,2018-08-31,577.28,boleto
102,784,2013-08-06,1257.75,crédito transferência
103,434,2013-02-17,7597.91,boleto
104,216,2012-09-12,770.14,boleto
105,173,2015-11-09,6114.58,crédito transferência
106,341,2013-05-17,7727.4,crédito transferência
107,366,2014-12-12,476.98,crédito transferência
108,612,2018-12-02,296.82,crédito transferência
109,36,2015-12-19,791.14,crédito transferência
110,158,2015-10-16,82.33,boleto
111,431,2014-03-29,450.61,crédito transferência
112,652,2011-02-14,9118.57,crédito transferência
113,321,2010-02-10,150.43,boleto
114,918,2019-08-29,779.64,crédito transferência
115,829,2010-03-17,4085.37,boleto
116,228,2017-06-18,4634.44,boleto
117,438,2019-12-23,4130.39,boleto
118,740,2020-04-05,481.01,crédito transferência
119,750,2019-12-13,6288.43,boleto
120,683,2010-10-08,314.29,boleto
121,218,2019-10-17,668.72,boleto
122,74,2013-02-18,943.63,crédito transferência
123,727,2019-08-15,835.97,crédito transferência
124,92,2013-08-31,958.26,boleto
125,966,2019-03-22,766.36,crédito transferência
126,765,2017-11-07,947.01,crédito transferência
127,612,2016-09-03,6257.14,crédito transferência
128,583,2017-12-30,9830.74,crédito transferência
129,717,2015-01-15,584.91,crédito transferência
130,261,2011-09-24,455.97,crédito transferência
131,164,2013-08-17,804.21,crédito transferência
132,811,2017-01-27,504.58,boleto
133,42,2010-04-27,99.3,boleto
134,67,2010-10-08,43.54,crédito transferência
135,868,2017-05-24,619.66,crédito transferência
136,156,2018-08-18,11.76,crédito transferência
137,413,2013-07-11,324.74,crédito transferência
138,505,2016-02-25,6131.05,crédito transferência
139,59,2013-01-16,507.88,boleto
140,117,2011-09-17,423.32,crédito transferência
141,536,2020-05-11,336.31,crédito transferência
142,618,2014-01-27,714.64,crédito transferência
143,614,2016-09-26,3808.35,crédito transferência
144,941,2013-12-09,258.54,boleto
145,443,2011-12-02,6810.48,crédito transferência
146,854,2011-01-15,889.39,boleto
147,250,2018-12-05,505.66,crédito transferência
148,99,2010-12-04,744.81,boleto
149,453,2011-06-02,6790.29,crédito transferência
150,461,2015-06-22,1394.04,boleto
151,837,2012-06-29,425.42,boleto
152,674,2013-07-01,1540.02,crédito transferência
153,582,2017-08-10,8048.89,crédito transferência
154,744,2016-01-09,5893.75,boleto
155,999,2018-03-14,3163.47,crédito transferência
156,795,2016-05-21,9905.73,boleto
157,467,2014-07-28,9542.13,boleto
158,666,2012-01-17,216.87,crédito transferência
159,330,2018-05-16,596.52,crédito transferência
160,14,2013-12-19,9285.28,boleto
161,787,2016-05-19,569.9,crédito transferência
162,624,2010-09-24,9325.79,boleto
163,469,2017-02-10,70.05,boleto
164,568,2011-02-28,588.8,crédito transferência
165,566,2014-12-12,91.06,boleto
166,554,2018-10-23,2237.31,boleto
167,122,2018-01-08,7493.1,boleto
168,812,2011-04-20,89.71,crédito transferência
169,805,2011-01-22,813.68,boleto
170,376,2018-07-05,85.5,crédito transferência
171,842,2015-09-27,70.13,crédito transferência
172,964,2020-05-11,439.14,boleto
173,965,2016-09-11,3959.34,crédito transferência
174,331,2010-01-12,9688.14,crédito transferência
175,20,2014-07-17,7971.89,crédito transferência
176,940,2014-01-21,8464.32,boleto
177,862,2015-12-22,1215.2,crédito transferência
178,988,2016-12-10,5024.95,boleto
179,951,2019-05-10,535.26,crédito transferência
180,407,2014-04-15,211.51,crédito transferência
181,567,2019-08-17,8531.07,crédito transferência
182,638,2013-06-13,7025.74,boleto
183,485,2015-06-16,389.23,crédito transferência
184,137,2020-02-18,7441.4,boleto
185,609,2016-08-25,918.85,boleto
186,10,2020-04-03,353.44,boleto
187,17,2011-01-24,6514.15,boleto
188,634,2012-12-25,6156.45,boleto
189,841,2013-09-14,4060.54,boleto
190,392,2014-01-27,5757.79,boleto
191,218,2015-12-20,4682.72,boleto
192,686,2014-10-11,566.79,boleto
193,949,2014-02-01,596.53,crédito transferência
194,229,2011-12-05,390.57,crédito transferência
195,508,2010-07-28,459.02,crédito transferência
196,35,2019-04-01,3669.65,boleto
197,355,2013-10-27,2608.95,crédito transferência
198,8,2013-05-02,7268.56,boleto
199,360,2013-12-01,597.65,boleto
200,883,2014-05-06,483.57,boleto
201,236,2016-11-30,221.9,boleto
202,714,2014-05-01,3713.28,crédito transferência
203,256,2010-10-20,12.7,crédito transferência
204,196,2018-06-14,461.87,boleto
205,327,2016-04-06,634.48,crédito transferência
206,771,2010-12-15,260.62,crédito transferência
207,462,2019-12-11,7167.03,boleto
208,524,2016-11-28,774.32,crédito transferência
209,255,2014-08-04,490.68,boleto
210,912,2019-09-07,3763.57,crédito transferência
211,225,2019-09-21,2542.95,crédito transferência
212,976,2015-05-11,8490.6,crédito transferência
213,254,2017-08-08,4111.73,boleto
214,361,2017-05-17,547.78,boleto
215,126,2018-04-29,8991.56,boleto
216,299,2020-04-12,8455.31,crédito transferência
217,173,2016-11-18,5247.53,boleto
218,524,2012-08-03,5214.33,boleto
219,967,2015-04-24,6085.65,boleto
220,224,2018-05-18,4010.63,crédito transferência
221,558,2015-01-08,2675.7,crédito transferência
222,718,2012-01-22,640.97,crédito transferência
223,908,2016-01-18,205.8,boleto
224,704,2014-09-23,536.43,crédito transferência
225,74,2016-09-23,914.74,crédito transferência
226,38,2020-01-12,7581.09,boleto
227,717,2017-06-06,599.2,boleto
228,570,2012-02-12,816.97,crédito transferência
229,490,2016-05-09,5987.15,crédito transferência
230,900,2017-09-19,7522.62,crédito transferência
231,164,2012-05-13,454.5,boleto
232,456,2010-08-28,1443.68,boleto
233,854,2016-09-19,1646.94,boleto
234,942,2011-04-24,1865.61,boleto
235,375,2020-02-16,9562.75,crédito transferência
236,304,2010-05-11,106.18,crédito transferência
237,951,2018-03-22,319.95,crédito transferência
238,371,2010-07-01,2496.43,crédito transferência
239,613,2014-05-10,8728.06,crédito transferência
240,337,2020-05-13,846.37,boleto
241,335,2011-12-03,191.52,crédito transferência
242,844,2015-04-12,546.84,crédito transferência
243,889,2018-09-21,194.09,crédito transferência
244,417,2020-02-07,78.19,crédito transferência
245,94,2012-12-08,224.07,boleto
246,7,2011-03-07,1949.37,boleto
247,890,2017-04-23,8295.24,boleto
248,350,2010-10-05,156.38,boleto
249,269,2016-03-14,6087.0,crédito transferência
250,449,2019-01-13,14.37,boleto
251,692,2010-07-27,1589.04,boleto
252,914,2013-05-07,949.83,crédito transferência
253,368,2012-08-17,603.93,boleto
254,672,2011-11-07,1691.49,boleto
255,576,2014-05-23,334.52,boleto
256,750,2013-01-22,673.62,boleto
257,1,2010-01-13,508.97,crédito transferência
258,132,2016-03-14,19.78,crédito transferência
259,338,2010-12-11,811.34,crédito transferência
260,433,2020-05-12,8468.35,boleto
261,731,2013-09-01,6809.27,crédito transferência
262,248,2014-02-01,363.77,boleto
263,125,2018-02-01,49.99,crédito transferência
264,658,2017-10-24,510.82,boleto
265,685,2019-12-12,578.06,crédito transferência
266,369,2016-04-22,2188.28,boleto
267,553,2010-03-15,4406.18,crédito transferência
268,40,2020-04-08,6967.88,crédito transferência
269,485,2013-03-18,959.8,crédito transferência
270,384,2010-09-03,849.28,boleto
271,930,2010-11-10,2120.69,boleto
272,83,2015-04-03,290.83,boleto
273,514,2017-12-01,445.36,boleto
274,659,2013-11-19,8741.82,crédito transferência
275,317,2012-06-20,4387.79,crédito transferência
276,791,2019-01-24,1103.25,boleto
277,803,2014-05-14,177.46,crédito transferência
278,264,2012-11-11,394.24,crédito transferência
279,571,2010-07-13,157.78,crédito transferência
280,992,2017-11-18,3504.45,crédito transferência
281,521,2020-03-30,575.27,boleto
282,234,2018-09-07,3976.93,boleto
283,970,2014-04-28,791.38,crédito transferência
284,945,2016-12-09,733.68,crédito transferência
285,445,2015-08-01,6675.29,boleto
286,622,2015-08-11,152.31,boleto
287,766,2015-02-16,90.42,crédito transferência
288,314,2016-11-29,1618.74,boleto
289,427,2015-09-19,517.61,boleto
290,313,2010-12-02,419.74,boleto
291,50,2016-05-25,6390.16,boleto
292,696,2019-02-20,6223.43,boleto
293,639,2014-11-10,156.45,crédito transferência
294,220,2015-01-26,624.78,boleto
295,84,2012-09-12,3447.21,crédito transferência
296,924,2017-07-19,336.1,crédito transferência
297,805,2018-08-16,991.12,boleto
298,280,2019-07-15,72.8,boleto
299,245,2013-07-29,9243.52,boleto
300,360,2010-03-30,2705.01,crédito transferência
301,959,2017-08-30,3561.69,boleto
302,503,2016-05-06,2217.96,crédito transferência
303,179,2013-06-28,2255.81,boleto
304,934,2012-12-11,567.93,boleto
305,75,2015-04-25,911.16,boleto
306,604,2020-04-24,623.7,crédito transferência
307,465,2018-11-09,289.48,boleto
308,134,2012-03-01,153.67,boleto
309,704,2011-02-15,272.05,crédito transferência
310,348,2018-04-25,907.17,crédito transferência
311,496,2015-12-02,83.73,crédito transferência
312,452,2010-12-07,9937.14,boleto
313,661,2015-12-19,9645.93,boleto
314,667,2013-04-23,464.56,boleto
315,895,2012-09-15,649.67,boleto
316,53,2010-04-01,94.93,crédito transferência
317,25,2010-11-16,853.17,boleto
318,948,2013-09-09,314.05,boleto
319,770,2020-03-05,203.17,crédito transferência
320,729,2020-04-07,7233.59,crédito transferência
321,710,2013-07-28,7638.8,boleto
322,314,2015-03-20,6250.18,boleto
323,1,2016-12-17,363.56,crédito transferência
324,8,2011-03-20,7708.46,crédito transferência
325,604,2012-03-24,113.76,boleto
326,690,2013-02-21,503.84,crédito transferência
327,98,2017-06-04,4600.72,crédito transferência
328,304,2017-09-13,220.08,crédito transferência
329,654,2017-10-28,541.27,boleto
330,714,2017-04-19,442.87,crédito transferência
331,59,2010-05-15,8135.65,crédito transferência
332,925,2011-09-19,583.7,crédito transferência
333,264,2016-12-05,5554.84,crédito transferência
334,908,2017-12-01,4575.93,boleto
335,575,2014-06-18,93.66,crédito transferência
336,110,2020-02-18,5035.42,boleto
337,777,2014-06-30,5500.57,boleto
338,65,2017-10-24,5014.22,boleto
339,206,2010-04-02,578.78,boleto
340,996,2017-09-07,571.38,crédito transferência
341,805,2018-07-17,4493.85,boleto
342,164,2019-11-11,825.16,crédito transferência
343,530,2014-12-25,6040.43,boleto
344,573,2011-01-08,9127.72,crédito transferência
345,26,2015-11-13,124.84,crédito transferência
346,782,2015-08-31,369.57,crédito transferência
347,337,2015-07-09,280.65,boleto
348,392,2013-04-26,222.56,boleto
349,418,2013-12-14,11.0,boleto
350,12,2015-10-24,81.95,crédito transferência
351,881,2018-04-26,3415.2,crédito transferência
352,305,2014-04-06,4162.27,boleto
353,399,2019-02-03,951.19,boleto
354,432,2011-03-31,3212.94,crédito transferência
355,25,2014-12-19,7871.47,boleto
356,211,2012-10-05,846.26,crédito transferência
357,649,2010-09-20,5354.44,boleto
358,602,2012-10-14,117.57,crédito transferência
359,158,2012-12-11,968.5,crédito transferência
360,357,2017-04-12,6517.26,crédito transferência
361,486,2017-10-11,841.35,boleto
362,457,2019-08-17,852.32,boleto
363,942,2014-06-30,3716.65,crédito transferência
364,250,2019-05-31,466.12,boleto
365,680,2011-06-05,153.34,crédito transferência
366,866,2014-02-23,5024.96,boleto
367,658,2015-05-30,5803.34,crédito transferência
368,508,2010-03-21,712.37,crédito transferência
369,933,2017-11-20,893.61,crédito transferência
370,392,2018-12-15,625.16,boleto
371,126,2019-03-01,688.32,crédito transferência
372,854,2017-01-31,381.52,boleto
373,944,2014-08-06,8102.34,crédito transferência
374,426,2011-04-27,156.52,crédito transferência
375,286,2014-06-24,784.91,crédito transferência
376,205,2016-10-19,672.74,crédito transferência
377,322,2010-04-14,4322.17,boleto
378,169,2011-11-07,700.72,boleto
379,101,2015-03-30,128.54,crédito transferência
380,273,2010-03-26,5441.83,crédito transferência
381,488,2016-07-11,132.79,crédito transferência
382,581,2014-07-05,7411.66,crédito transferência
383,871,2017-08-10,456.59,crédito transferência
384,149,2010-01-30,2571.82,boleto
385,37,2010-11-09,5106.19,crédito transferência
386,925,2017-10-23,835.74,boleto
387,200,2016-04-16,4547.09,boleto
388,259,2012-07-26,5445.66,crédito transferência
389,636,2020-04-21,719.0,crédito transferência
390,175,2019-12-18,4244.74,boleto
391,93,2016-07-20,210.9,boleto
392,355,2012-11-23,9454.28,crédito transferência
393,686,2014-05-18,1242.54,crédito transferência
394,212,2010-05-13,439.31,boleto
395,893,2019-08-07,596.35,boleto
396,274,2014-06-14,522.63,crédito transferência
397,320,2018-04-08,5756.62,boleto
398,681,2010-06-24,520.66,crédito transferência
399,399,2018-09-16,85.39,boleto
400,46,2012-05-09,1595.88,crédito transferência
401,359,2013-03-15,297.91,boleto
402,383,2011-08-27,8397.84,crédito transferência
403,791,2014-10-20,615.14,crédito transferência
404,432,2018-10-23,775.53,boleto
405,998,2012-06-21,538.4,crédito transferência
406,182,2018-01-18,8627.75,crédito transferência
407,271,2016-03-08,8347.47,crédito transferência
408,911,2016-07-02,7185.73,boleto
409,484,2018-04-28,571.21,crédito transferência
410,525,2013-11-24,728.92,boleto
411,264,2011-06-02,735.95,boleto
412,647,2018-03-14,728.79,crédito transferência
413,347,2011-06-26,7015.06,crédito transferência
414,411,2020-03-03,473.92,boleto
415,197,2019-05-06,709.3,boleto
416,885,2010-05-23,699.49,crédito transferência
417,438,2018-06-21,243.81,boleto
418,996,2014-07-19,5913.04,boleto
419,360,2014-12-07,154.99,crédito transferência
420,465,2015-05-13,137.82,boleto
421,649,2017-09-28,9629.69,boleto
422,167,2010-08-06,394.96,boleto
423,691,2010-09-14,6151.56,boleto
424,546,2014-08-18,828.65,crédito transferência
425,346,2012-04-03,986.76,crédito transferência
426,964,2020-02-01,6253.65,crédito transferência
427,496,2012-07-30,287.83,crédito transferência
428,289,2016-10-29,820.54,crédito transferência
429,520,2010-09-02,4231.3,crédito transferência
430,342,2010-03-15,540.06,crédito transferência
431,427,2012-11-27,3647.87,boleto
432,528,2018-10-13,9100.8,boleto
433,609,2010-05-31,9339.1,boleto
434,739,2012-01-05,8902.74,crédito transferência
435,901,2019-12-24,651.59,crédito transferência
436,474,2018-02-26,969.0,crédito transferência
437,6,2016-12-21,318.12,boleto
438,936,2016-06-29,72.56,boleto
439,122,2019-08-02,9309.54,boleto
440,939,2016-04-01,0.34,boleto
441,587,2013-08-19,6732.86,boleto
442,186,2018-05-20,598.36,boleto
443,322,2018-08-03,6740.93,boleto
444,274,2020-02-06,1982.49,crédito transferência
445,242,2010-07-11,57.55,boleto
446,86,2010-12-12,431.02,boleto
447,899,2013-04-24,949.05,crédito transferência
448,896,2016-08-15,958.51,crédito transferência
449,727,2017-01-14,8513.84,boleto
450,481,2014-05-06,243.34,boleto
451,633,2014-09-24,5508.22,boleto
452,305,2011-07-05,882.02,crédito transferência
453,788,2014-07-03,2852.6,crédito transferência
454,635,2013-11-17,8948.32,boleto
455,138,2019-06-16,517.69,crédito transferência
456,523,2013-10-22,160.32,boleto
457,398,2015-11-27,8080.84,boleto
458,25,2014-10-01,489.88,boleto
459,871,2015-08-25,34.46,boleto
460,294,2010-02-15,4701.09,crédito transferência
461,492,2018-10-21,5304.24,crédito transferência
462,989,2014-11-13,673.5,boleto
463,694,2020-03-27,216.14,boleto
464,129,2011-09-17,7700.54,boleto
465,953,2016-07-26,6170.32,crédito transferência
466,430,2011-06-28,4934.77,crédito transferência
467,123,2020-01-11,3342.25,crédito transferência
468,553,2019-05-12,4849.26,crédito transferência
469,657,2018-06-28,656.72,boleto
470,268,2016-12-20,5542.06,boleto
471,795,2012-03-26,600.08,crédito transferência
472,497,2015-10-21,7078.89,crédito transferência
473,528,2011-09-09,900.24,boleto
474,110,2013-12-14,4633.54,crédito transferência
475,343,2015-10-18,968.82,crédito transferência
476,491,2020-01-27,690.04,boleto
477,669,2012-02-27,777.18,crédito transferência
478,845,2019-06-27,5444.09,crédito transferência
479,733,2018-02-22,3797.75,boleto
480,394,2013-07-29,4577.33,crédito transferência
481,672,2015-05-14,180.85,crédito transferência
482,881,2017-07-14,597.94,crédito transferência
483,10,2018-02-23,376.61,crédito transferência
484,700,2012-02-11,58.97,boleto
485,300,2012-07-23,4495.65,crédito transferência
486,668,2016-10-10,4703.96,boleto
487,257,2013-08-01,1746.39,crédito transferência
488,617,2010-05-12,729.2,boleto
489,329,2011-12-19,123.5,boleto
490,348,2015-08-28,695.06,boleto
491,925,2010-05-04,164.91,boleto
492,836,2015-10-18,44.86,crédito transferência
493,779,2019-01-09,8731.47,crédito transferência
494,847,2015-02-10,770.55,crédito transferência
495,939,2013-01-20,3103.25,crédito transferência
496,983,2011-08-29,787.36,crédito transferência
497,289,2015-10-13,3498.22,crédito transferência
498,741,2018-08-13,2128.14,boleto
499,828,2013-09-09,6925.3,boleto
500,749,2016-11-24,4209.31,crédito transferência
501,452,2011-07-03,294.95,crédito transferência
502,16,2017-01-24,527.64,boleto
503,621,2011-03-19,9816.83,crédito transferência
504,782,2010-05-31,98.01,crédito transferência
505,257,2012-10-03,964.43,crédito transferência
506,740,2013-12-04,933.24,crédito transferência
507,578,2014-10-17,240.89,boleto
508,604,2012-07-28,466.42,crédito transferência
509,320,2019-04-07,923.51,boleto
510,156,2013-06-23,847.49,boleto
511,320,2010-09-07,1537.14,boleto
512,265,2017-09-30,714.75,crédito transferência
513,223,2019-02-10,3794.16,crédito transferência
514,250,2020-04-04,419.98,crédito transferência
515,627,2015-11-11,714.54,boleto
516,997,2015-10-19,263.0,crédito transferência
517,473,2015-06-25,7370.7,boleto
518,943,2020-01-23,232.7,boleto
519,685,2014-05-03,724.33,boleto
520,191,2010-09-02,62.76,crédito transferência
521,825,2014-06-03,2479.64,crédito transferência
522,507,2016-05-19,463.08,crédito transferência
523,902,2019-12-27,1236.13,boleto
524,510,2013-01-20,8777.62,boleto
525,409,2017-02-22,7030.03,crédito transferência
526,582,2016-08-02,852.83,crédito transferência
527,234,2020-02-25,419.12,crédito transferência
528,656,2018-04-12,3328.79,crédito transferência
529,589,2019-11-10,331.67,crédito transferência
530,776,2018-07-03,305.46,boleto
531,656,2013-02-03,564.52,boleto
532,560,2012-09-11,9518.9,boleto
533,32,2015-04-29,427.56,boleto
534,487,2016-09-08,562.45,crédito transferência
535,763,2017-12-11,2709.77,boleto
536,924,2013-09-03,4000.62,crédito transferência
537,867,2012-12-19,408.2,crédito transferência
538,802,2012-09-22,521.91,boleto
539,612,2011-08-31,464.46,crédito transferência
540,997,2013-06-03,6834.37,boleto
541,774,2010-12-06,8304.3,crédito transferência
542,300,2020-02-02,2103.69,boleto
543,10,2014-12-11,703.15,boleto
544,402,2019-01-03,5666.88,boleto
545,796,2018-12-23,747.66,boleto
546,365,2019-04-03,7988.49,boleto
547,877,2010-02-24,680.62,crédito transferência
548,539,2010-03-03,598.75,crédito transferência
549,108,2013-09-22,2029.26,crédito transferência
550,117,2011-11-04,9224.94,crédito transferência
551,49,2010-07-19,5267.0,boleto
552,678,2017-09-11,21.62,boleto
553,233,2015-10-28,6364.48,boleto
554,544,2017-12-31,4652.89,boleto
555,411,2017-10-14,604.94,boleto
556,879,2019-10-27,4281.29,boleto
557,336,2019-08-14,776.08,boleto
558,738,2016-03-16,226.76,crédito transferência
559,513,2016-11-29,1440.91,crédito transferência
560,480,2015-07-21,6414.62,crédito transferência
561,49,2020-03-20,45.91,crédito transferência
562,821,2019-01-31,300.41,crédito transferência
563,233,2016-12-19,287.48,boleto
564,470,2014-03-26,30.91,crédito transferência
565,661,2017-12-23,9570.35,boleto
566,379,2017-07-31,778.12,boleto
567,694,2012-03-16,3727.23,crédito transferência
568,128,2013-05-20,1003.01,boleto
569,438,2013-10-17,368.25,boleto
570,305,2017-09-24,5552.76,crédito transferência
571,930,2020-03-12,334.39,boleto
572,617,2020-02-16,362.41,crédito transferência
573,175,2012-09-20,6782.3,crédito transferência
574,105,2013-11-06,1901.81,boleto
575,142,2016-12-11,1193.39,boleto
576,117,2011-07-29,7704.24,crédito transferência
577,505,2015-06-19,621.44,boleto
578,104,2015-01-28,7175.04,crédito transferência
579,464,2016-07-19,628.03,boleto
580,515,2020-03-30,3167.39,boleto
581,586,2013-07-06,3931.32,crédito transferência
582,923,2019-01-13,3323.7,boleto
583,325,2013-12-26,8650.39,crédito transferência
584,462,2016-11-01,889.29,crédito transferência
585,138,2017-11-27,7119.07,boleto
586,826,2018-05-23,6810.92,boleto
587,588,2010-11-20,2117.04,crédito transferência
588,196,2010-07-30,4759.96,crédito transferência
589,74,2011-11-10,3521.44,crédito transferência
590,41,2016-12-18,5376.2,boleto
591,512,2019-06-26,567.59,boleto
592,561,2016-03-09,12.81,boleto
593,562,2011-06-18,4857.19,boleto
594,621,2019-12-21,73.01,boleto
595,56,2018-01-10,4564.22,boleto
596,872,2013-07-03,617.05,boleto
597,959,2019-07-14,3716.06,boleto
598,15,2012-03-12,799.64,boleto
599,758,2016-04-17,290.58,crédito transferência
600,123,2015-03-19,365.59,crédito transferência
601,691,2019-09-26,2411.47,crédito transferência
602,992,2020-05-04,1619.52,crédito transferência
603,427,2018-01-26,538.77,boleto
604,96,2013-02-24,531.89,boleto
605,112,2013-05-30,6426.23,boleto
606,134,2017-04-14,104.61,crédito transferência
607,826,2019-12-14,533.56,crédito transferência
608,782,2014-10-30,488.09,boleto
609,241,2010-01-05,1520.21,boleto
610,195,2012-05-10,444.23,crédito transferência
611,423,2014-06-15,4348.82,boleto
612,163,2010-11-11,4889.64,crédito transferência
613,333,2012-08-29,99.91,boleto
614,24,2018-10-23,310.49,boleto
615,242,2017-05-20,50.72,boleto
616,909,2019-10-11,8619.32,crédito transferência
617,742,2020-02-19,307.69,crédito transferência
618,907,2010-04-18,2933.8,boleto
619,69,2013-10-12,179.22,boleto
620,184,2015-09-05,919.1,boleto
621,229,2013-01-27,87.4,boleto
622,313,2017-08-03,9428.6,boleto
623,425,2014-05-16,226.55,boleto
624,201,2018-09-27,4128.07,crédito transferência
625,795,2018-01-26,434.54,boleto
626,761,2018-05-13,201.53,boleto
627,842,2012-03-18,9157.2,boleto
628,267,2015-02-09,51.34,boleto
629,964,2017-01-12,320.15,crédito transferência
630,363,2011-02-08,47.87,boleto
631,796,2014-08-22,3964.02,crédito transferência
632,406,2011-06-04,69.9,boleto
633,273,2020-02-21,898.68,crédito transferência
634,228,2019-02-27,908.53,crédito transferência
635,479,2013-02-01,323.17,crédito transferência
636,172,2018-12-19,305.12,boleto
637,374,2017-08-23,7642.36,boleto
638,94,2018-04-15,87.24,boleto
639,227,2015-06-19,1188.29,crédito transferência
640,826,2016-09-13,2172.72,crédito transferência
641,505,2015-01-31,6382.7,boleto
642,646,2012-05-29,154.09,crédito transferência
643,184,2013-12-26,393.58,boleto
644,640,2014-06-12,2770.49,crédito transferência
645,216,2016-07-20,3001.91,crédito transferência
646,884,2014-08-25,101.95,boleto
647,526,2014-07-22,657.97,crédito transferência
648,8,2017-07-09,356.87,crédito transferência
649,480,2010-07-31,5495.89,boleto
650,309,2015-07-31,862.78,boleto
651,197,2015-07-10,842.01,crédito transferência
652,254,2016-12-09,116.75,boleto
653,518,2018-10-23,3486.41,crédito transferência
654,734,2012-10-27,751.58,crédito transferência
655,874,2013-11-11,6754.58,crédito transferência
656,615,2010-07-28,756.88,boleto
657,155,2019-04-26,129.54,boleto
658,160,2013-03-09,5356.79,crédito transferência
659,520,2018-06-26,278.43,crédito transferência
660,235,2014-02-14,2544.65,boleto
661,186,2012-03-10,595.03,crédito transferência
662,651,2015-12-29,133.38,boleto
663,388,2016-10-02,2500.21,crédito transferência
664,43,2019-11-25,676.35,crédito transferência
665,412,2012-05-05,427.36,crédito transferência
